A E B C
State0 State0 State0 State1
State1 State0 State0 State0
State0 State0 State0 State0
State0 State0 State0 State0
State0 State1 State1 State1
State1 State0 State0 State1
State1 State1 State1 State0
State1 State1 State0 State1
State0 State0 State1 State0
State1 State1 State1 State1
State0 State0 State0 State0
State0 State0 State1 State0
State1 State1 State1 State0
State0 State1 State0 State0
State0 State0 State1 State1
State0 State1 State0 State1
State1 State0 State1 State1
State1 State0 State0 State0
State0 State1 State0 State1
State0 State0 State1 State1
State0 State1 State1 State1
State1 State0 State1 State1
State1 State0 State1 State1
State1 State0 State0 State1
State0 State0 State0 State0
State1 State1 State1 State0
State0 State1 State1 State0
State1 State1 State0 State1
State0 State1 State1 State0
State1 State1 State0 State0
State1 State1 State1 State0
State0 State0 State1 State0
State1 State0 State1 State0
State1 State1 State0 State1
State0 State1 State0 State1
State0 State1 State0 State0
State1 State1 State0 State0
State0 State1 State1 State1
State1 State1 State0 State0
State1 State1 State0 State1
State0 State1 State0 State1
State0 State1 State0 State0
State0 State1 State0 State0
State1 State0 State0 State0
State0 State1 State0 State1
State0 State0 State1 State0
State0 State0 State1 State1
State1 State1 State0 State0
State1 State1 State0 State1
State0 State0 State1 State1
State1 State0 State0 State1
State1 State0 State1 State1
State1 State1 State1 State1
State0 State1 State1 State1
State1 State1 State1 State1
State1 State0 State1 State0
State0 State0 State1 State1
State1 State1 State1 State1
State1 State1 State1 State1
State0 State0 State0 State1
State0 State0 State1 State1
State1 State1 State1 State0
State1 State0 State0 State1
State0 State0 State1 State0
State0 State0 State0 State1
State0 State0 State0 State0
State1 State0 State1 State1
State0 State1 State0 State0
State0 State0 State1 State0
State1 State1 State0 State0
State1 State1 State0 State0
State0 State1 State1 State0
State1 State1 State1 State0
State1 State1 State0 State1
State1 State1 State0 State1
State1 State0 State0 State1
State1 State0 State1 State0
State0 State1 State1 State1
State0 State1 State1 State0
State1 State0 State0 State1
State0 State0 State1 State1
State0 State1 State1 State0
State1 State1 State1 State1
State0 State0 State1 State0
State1 State1 State1 State1
State0 State1 State1 State0
State0 State1 State1 State0
State1 State1 State0 State1
State1 State1 State0 State1
State0 State0 State0 State1
State0 State1 State0 State1
State1 State0 State1 State0
State0 State0 State1 State0
State0 State0 State1 State1
State0 State0 State1 State0
State0 State0 State1 State1
State1 State1 State1 State1
State0 State0 State0 State1
State0 State0 State0 State0
State1 State1 State0 State1
