Id	Odorant	Anneaux	Chapeau bombé	Pied large	Tâches	Comestible
champignon 1	1		1	1		1
champignon 2	1		1	1	1	1
champignon 3			1	1	1	1
champignon 4	1			1	1	
champignon 5			1	1		1
champignon 6	1		1	1		1
champignon 7			1	1		1
champignon 8	1	1		1		1
champignon 9			1	1		
champignon 10	1	1	1	1		1
champignon 11			1		1	1
champignon 12		1	1	1		
champignon 13	1	1	1	1		
champignon 14	1		1	1		1
champignon 15				1	1	1
champignon 16			1	1		1
champignon 17		1			1	
champignon 18	1		1	1	1	1
champignon 19	1		1	1		1
champignon 20			1	1		1
champignon 21	1	1	1		1	1
champignon 22	1		1	1	1	1
champignon 23			1	1	1	1
champignon 24			1			
