ID_Sequence	ID_Time	Cotation
1	1	Microsoft=3
1	1	Boeing=0
1	1	Citigroup=3
1	1	Du_Pont=0
1	1	Exxon_Mobil=-2
1	1	HP=3
1	1	Coca_Cola=-1
1	1	General_Motors=3
1	1	Intel=3
1	1	Altria=-3
1	1	American_Express=3
1	1	AT&T=1
1	1	Procter_&_Gamble=-2
1	1	Verizon=3
1	1	Morgan_Chase=3
1	2	Microsoft=1
1	2	Boeing=-1
1	2	Citigroup=1
1	2	Du_Pont=1
1	2	Exxon_Mobil=-1
1	2	HP=1
1	2	Coca_Cola=-1
1	2	General_Motors=2
1	2	Intel=-1
1	2	Altria=-2
1	2	American_Express=-2
1	2	AT&T=1
1	2	Procter_&_Gamble=-2
1	2	Verizon=1
1	2	Morgan_Chase=1
1	3	Microsoft=1
1	3	Boeing=-2
1	3	Citigroup=-2
1	3	Du_Pont=-1
1	3	Exxon_Mobil=0
1	3	HP=-3
1	3	Coca_Cola=0
1	3	General_Motors=-3
1	3	Intel=-3
1	3	Altria=0
1	3	American_Express=-2
1	3	AT&T=-2
1	3	Procter_&_Gamble=2
1	3	Verizon=0
1	3	Morgan_Chase=-3
1	4	Microsoft=0
1	4	Boeing=0
1	4	Citigroup=0
1	4	Du_Pont=0
1	4	Exxon_Mobil=0
1	4	HP=1
1	4	Coca_Cola=1
1	4	General_Motors=-1
1	4	Intel=0
1	4	Altria=2
1	4	American_Express=-3
1	4	AT&T=0
1	4	Procter_&_Gamble=1
1	4	Verizon=0
1	4	Morgan_Chase=0
1	5	Microsoft=3
1	5	Boeing=0
1	5	Citigroup=-1
1	5	Du_Pont=-2
1	5	Exxon_Mobil=-1
1	5	HP=0
1	5	Coca_Cola=1
1	5	General_Motors=2
1	5	Intel=0
1	5	Altria=2
1	5	American_Express=-2
1	5	AT&T=2
1	5	Procter_&_Gamble=-1
1	5	Verizon=1
1	5	Morgan_Chase=-1
1	6	Microsoft=1
1	6	Boeing=1
1	6	Citigroup=2
1	6	Du_Pont=0
1	6	Exxon_Mobil=-1
1	6	HP=0
1	6	Coca_Cola=0
1	6	General_Motors=-1
1	6	Intel=1
1	6	Altria=1
1	6	American_Express=0
1	6	AT&T=0
1	6	Procter_&_Gamble=-1
1	6	Verizon=1
1	6	Morgan_Chase=2
1	7	Microsoft=2
1	7	Boeing=-1
1	7	Citigroup=1
1	7	Du_Pont=-2
1	7	Exxon_Mobil=0
1	7	HP=1
1	7	Coca_Cola=-1
1	7	General_Motors=0
1	7	Intel=1
1	7	Altria=-3
1	7	American_Express=1
1	7	AT&T=0
1	7	Procter_&_Gamble=-1
1	7	Verizon=0
1	7	Morgan_Chase=3
1	8	Microsoft=-1
1	8	Boeing=1
1	8	Citigroup=-2
1	8	Du_Pont=-2
1	8	Exxon_Mobil=1
1	8	HP=-3
1	8	Coca_Cola=-1
1	8	General_Motors=0
1	8	Intel=-2
1	8	Altria=1
1	8	American_Express=0
1	8	AT&T=-1
1	8	Procter_&_Gamble=-2
1	8	Verizon=0
1	8	Morgan_Chase=-1
1	9	Microsoft=-1
1	9	Boeing=0
1	9	Citigroup=1
1	9	Du_Pont=2
1	9	Exxon_Mobil=-1
1	9	HP=-1
1	9	Coca_Cola=0
1	9	General_Motors=3
1	9	Intel=-1
1	9	Altria=0
1	9	American_Express=0
1	9	AT&T=-1
1	9	Procter_&_Gamble=1
1	9	Verizon=-1
1	9	Morgan_Chase=0
1	10	Microsoft=0
1	10	Boeing=-2
1	10	Citigroup=-1
1	10	Du_Pont=0
1	10	Exxon_Mobil=-1
1	10	HP=2
1	10	Coca_Cola=1
1	10	General_Motors=-1
1	10	Intel=-1
1	10	Altria=0
1	10	American_Express=1
1	10	AT&T=0
1	10	Procter_&_Gamble=-1
1	10	Verizon=0
1	10	Morgan_Chase=0
1	11	Microsoft=2
1	11	Boeing=-1
1	11	Citigroup=0
1	11	Du_Pont=-1
1	11	Exxon_Mobil=-1
1	11	HP=3
1	11	Coca_Cola=-1
1	11	General_Motors=1
1	11	Intel=3
1	11	Altria=0
1	11	American_Express=0
1	11	AT&T=0
1	11	Procter_&_Gamble=0
1	11	Verizon=2
1	11	Morgan_Chase=-1
1	12	Microsoft=3
1	12	Boeing=-1
1	12	Citigroup=0
1	12	Du_Pont=-1
1	12	Exxon_Mobil=0
1	12	HP=2
1	12	Coca_Cola=-1
1	12	General_Motors=-1
1	12	Intel=2
1	12	Altria=0
1	12	American_Express=-1
1	12	AT&T=-1
1	12	Procter_&_Gamble=-1
1	12	Verizon=0
1	12	Morgan_Chase=-1
1	13	Microsoft=-1
1	13	Boeing=0
1	13	Citigroup=0
1	13	Du_Pont=0
1	13	Exxon_Mobil=1
1	13	HP=-2
1	13	Coca_Cola=0
1	13	General_Motors=0
1	13	Intel=0
1	13	Altria=1
1	13	American_Express=-3
1	13	AT&T=-1
1	13	Procter_&_Gamble=-1
1	13	Verizon=-1
1	13	Morgan_Chase=0
1	14	Microsoft=0
1	14	Boeing=1
1	14	Citigroup=1
1	14	Du_Pont=0
1	14	Exxon_Mobil=1
1	14	HP=0
1	14	Coca_Cola=1
1	14	General_Motors=-1
1	14	Intel=3
1	14	Altria=0
1	14	American_Express=2
1	14	AT&T=0
1	14	Procter_&_Gamble=0
1	14	Verizon=0
1	14	Morgan_Chase=1
1	15	Microsoft=2
1	15	Boeing=0
1	15	Citigroup=1
1	15	Du_Pont=0
1	15	Exxon_Mobil=0
1	15	HP=1
1	15	Coca_Cola=1
1	15	General_Motors=-1
1	15	Intel=1
1	15	Altria=1
1	15	American_Express=0
1	15	AT&T=-2
1	15	Procter_&_Gamble=0
1	15	Verizon=-2
1	15	Morgan_Chase=2
1	16	Microsoft=-1
1	16	Boeing=2
1	16	Citigroup=0
1	16	Du_Pont=0
1	16	Exxon_Mobil=1
1	16	HP=-1
1	16	Coca_Cola=0
1	16	General_Motors=1
1	16	Intel=-2
1	16	Altria=0
1	16	American_Express=0
1	16	AT&T=0
1	16	Procter_&_Gamble=0
1	16	Verizon=-1
1	16	Morgan_Chase=0
1	17	Microsoft=2
1	17	Boeing=-1
1	17	Citigroup=0
1	17	Du_Pont=-1
1	17	Exxon_Mobil=-1
1	17	HP=0
1	17	Coca_Cola=-1
1	17	General_Motors=-1
1	17	Intel=2
1	17	Altria=-1
1	17	American_Express=0
1	17	AT&T=-1
1	17	Procter_&_Gamble=0
1	17	Verizon=1
1	17	Morgan_Chase=1
1	18	Microsoft=0
1	18	Boeing=-1
1	18	Citigroup=1
1	18	Du_Pont=0
1	18	Exxon_Mobil=-1
1	18	HP=3
1	18	Coca_Cola=-1
1	18	General_Motors=0
1	18	Intel=2
1	18	Altria=1
1	18	American_Express=1
1	18	AT&T=1
1	18	Procter_&_Gamble=-2
1	18	Verizon=1
1	18	Morgan_Chase=1
1	19	Microsoft=-1
1	19	Boeing=0
1	19	Citigroup=0
1	19	Du_Pont=3
1	19	Exxon_Mobil=1
1	19	HP=0
1	19	Coca_Cola=1
1	19	General_Motors=1
1	19	Intel=0
1	19	Altria=1
1	19	American_Express=0
1	19	AT&T=0
1	19	Procter_&_Gamble=3
1	19	Verizon=1
1	19	Morgan_Chase=1
1	20	Microsoft=-2
1	20	Boeing=2
1	20	Citigroup=0
1	20	Du_Pont=1
1	20	Exxon_Mobil=1
1	20	HP=-1
1	20	Coca_Cola=0
1	20	General_Motors=-2
1	20	Intel=0
1	20	Altria=-1
1	20	American_Express=-1
1	20	AT&T=0
1	20	Procter_&_Gamble=1
1	20	Verizon=1
1	20	Morgan_Chase=-1
1	21	Microsoft=1
1	21	Boeing=-2
1	21	Citigroup=0
